dt,pp,,,
0,0.003919704,,,
0,0.023406144,,,
0.000172661,0.055130298,,,
0.000726993,0.092700688,,,
0.001535773,0.136614091,,,
0.002620204,0.18026093,,,
0.003871237,0.224322761,,,
0.00540701,0.265094948,,,
0.007073035,0.3035347,,,
0.009117703,0.336794627,,,
0.011004856,0.365277605,,,
0.013082844,0.391007097,,,
0.015142657,0.415906606,,,
0.017235791,0.438800825,,,
0.019368304,0.461373956,,,
0.021691652,0.483492716,,,
0.023921097,0.504402851,,,
0.026120251,0.523607581,,,
0.028331521,0.540697974,,,
0.0304398,0.557803512,,,
0.032551109,0.575993481,,,
0.034386766,0.593099019,,,
0.036231511,0.609404865,,,
0.037985381,0.625165467,,,
0.03970896,0.641740906,,,
0.041250791,0.65854353,,,
0.042671457,0.674452559,,,
0.044131501,0.689361973,,,
0.045421913,0.70446828,,,
0.046685064,0.720298552,,,
0.047666504,0.734308312,,,
0.048644915,0.746745949,,,
0.049456724,0.758114301,,,
0.050250358,0.769197915,,,
0.051062167,0.778636706,,,
0.051713431,0.787996741,,,
0.052288968,0.797044774,,,
0.052858445,0.805671757,,,
0.053288583,0.812772054,,,
0.053721749,0.819969284,,,
